country,date,confirmed,deaths,recovered
Australia,1/21/20 22:00,NA,NA,NA
Australia,1/22/20 12:00,NA,NA,NA
Australia,1/23/20 12:00,NA,NA,NA
Australia,1/24/20 0:00,NA,NA,NA
Australia,1/24/20 12:00,NA,NA,NA
Australia,1/25/20 0:00,NA,NA,NA
Australia,1/25/20 12:00,NA,NA,NA
Australia,1/25/20 22:00,NA,NA,NA
Australia,1/26/20 11:00,NA,NA,NA
Australia,1/26/20 23:00,NA,NA,NA
Australia,1/27/20 19:00,NA,NA,NA
Australia,1/27/20 20:30,NA,NA,NA
Australia,1/27/20 9:00,NA,NA,NA
Australia,1/28/20 13:00,NA,NA,NA
Australia,1/28/20 18:00,NA,NA,NA
Australia,1/28/20 23:00,NA,NA,NA
Australia,1/29/20 13:30,NA,NA,NA
Australia,1/29/20 14:30,NA,NA,NA
Australia,1/29/20 21:00,NA,NA,NA
Australia,1/30/20 11:00,NA,NA,NA
Australia,1/31/20 14:00,NA,NA,NA
Australia,2/1/20 10:00,12,NA,NA
Australia,2/10/20 10:30,15,0,2
Australia,2/10/20 19:30,15,0,2
Australia,2/11/20 10:50,15,0,2
Australia,2/11/20 20:44,15,0,2
Australia,2/12/20 10:20,15,0,2
Australia,2/12/20 22:00,15,0,2
Australia,2/13/20 10:00,15,0,2
Australia,2/13/20 21:15,15,0,8
Australia,2/14/20 11:23,15,0,8
Australia,2/2/20 21:00,12,NA,NA
Australia,2/3/20 21:00,12,NA,NA
Australia,2/4/20 22:00,13,NA,NA
Australia,2/4/20 9:40,12,NA,NA
Australia,2/5/20 23:00,14,NA,NA
Australia,2/5/20 9:00,13,NA,NA
Australia,2/6/20 14:20,14,NA,NA
Australia,2/6/20 9:00,14,NA,NA
Australia,2/7/20 20:13,15,NA,NA
Australia,2/7/20 22:50,15,NA,NA
Australia,2/8/20 10:24,15,0,2
Australia,2/8/20 23:04,15,0,2
Australia,2/9/20 10:30,15,0,2
Australia,2/9/20 23:20,15,0,2
Belgium,1/21/20 22:00,NA,NA,NA
Belgium,1/22/20 12:00,NA,NA,NA
Belgium,1/23/20 12:00,NA,NA,NA
Belgium,1/24/20 0:00,NA,NA,NA
Belgium,1/24/20 12:00,NA,NA,NA
Belgium,1/25/20 0:00,NA,NA,NA
Belgium,1/25/20 12:00,NA,NA,NA
Belgium,1/25/20 22:00,NA,NA,NA
Belgium,1/26/20 11:00,NA,NA,NA
